state,district,forecast_month,predicted_update_total,predicted_stress_level
Arunachal Pradesh,Changlang,2026-01-01,2789.0,Medium
Arunachal Pradesh,Changlang,2026-02-01,3319.0,Medium
Arunachal Pradesh,Changlang,2026-03-01,3849.0,Medium
Arunachal Pradesh,Dibang Valley,2026-01-01,94.5,Low
Arunachal Pradesh,Dibang Valley,2026-02-01,109.0,Low
Arunachal Pradesh,Dibang Valley,2026-03-01,123.5,Low
Arunachal Pradesh,East Kameng,2026-01-01,491.0,Low
Arunachal Pradesh,East Kameng,2026-02-01,400.0,Low
Arunachal Pradesh,East Kameng,2026-03-01,309.0,Low
Arunachal Pradesh,East Siang,2026-01-01,1504.0,Low
Arunachal Pradesh,East Siang,2026-02-01,1651.0,Low
Arunachal Pradesh,East Siang,2026-03-01,1798.0,Low
Arunachal Pradesh,Kamle,2026-01-01,9.0,Low
Arunachal Pradesh,Kamle,2026-02-01,5.0,Low
Arunachal Pradesh,Kamle,2026-03-01,1.0,Low
Arunachal Pradesh,Kra Daadi,2026-01-01,232.0,Low
Arunachal Pradesh,Kra Daadi,2026-02-01,251.0,Low
Arunachal Pradesh,Kra Daadi,2026-03-01,270.0,Low
Arunachal Pradesh,Kurung Kumey,2026-01-01,189.5,Low
Arunachal Pradesh,Kurung Kumey,2026-02-01,173.0,Low
Arunachal Pradesh,Kurung Kumey,2026-03-01,156.5,Low
Arunachal Pradesh,Leparada,2026-01-01,3.5,Low
Arunachal Pradesh,Leparada,2026-02-01,0.0,Low
Arunachal Pradesh,Leparada,2026-03-01,0.0,Low
Arunachal Pradesh,Lohit,2026-01-01,1795.0,Low
Arunachal Pradesh,Lohit,2026-02-01,2178.0,Medium
Arunachal Pradesh,Lohit,2026-03-01,2561.0,Medium
Arunachal Pradesh,Longding,2026-01-01,519.5,Low
Arunachal Pradesh,Longding,2026-02-01,581.0,Low
Arunachal Pradesh,Longding,2026-03-01,642.5,Low
Arunachal Pradesh,Lower Dibang Valley,2026-01-01,353.5,Low
Arunachal Pradesh,Lower Dibang Valley,2026-02-01,194.0,Low
Arunachal Pradesh,Lower Dibang Valley,2026-03-01,34.5,Low
Arunachal Pradesh,Lower Siang,2026-01-01,84.5,Low
Arunachal Pradesh,Lower Siang,2026-02-01,69.0,Low
Arunachal Pradesh,Lower Siang,2026-03-01,53.5,Low
Arunachal Pradesh,Lower Subansiri,2026-01-01,258.0,Low
Arunachal Pradesh,Lower Subansiri,2026-02-01,112.0,Low
Arunachal Pradesh,Lower Subansiri,2026-03-01,0.0,Low
Arunachal Pradesh,Namsai,2026-01-01,1581.0,Low
Arunachal Pradesh,Namsai,2026-02-01,1953.0,Low
Arunachal Pradesh,Namsai,2026-03-01,2325.0,Medium
Arunachal Pradesh,Pakke Kessang,2026-01-01,0.0,Low
Arunachal Pradesh,Pakke Kessang,2026-02-01,0.0,Low
Arunachal Pradesh,Pakke Kessang,2026-03-01,0.0,Low
Arunachal Pradesh,Papum Pare,2026-01-01,2112.5,Medium
Arunachal Pradesh,Papum Pare,2026-02-01,2263.0,Medium
Arunachal Pradesh,Papum Pare,2026-03-01,2413.5,Medium
Arunachal Pradesh,Shi-yomi,2026-01-01,217.0,Low
Arunachal Pradesh,Shi-yomi,2026-02-01,273.0,Low
Arunachal Pradesh,Shi-yomi,2026-03-01,329.0,Low
Arunachal Pradesh,Siang,2026-01-01,458.5,Low
Arunachal Pradesh,Siang,2026-02-01,545.0,Low
Arunachal Pradesh,Siang,2026-03-01,631.5,Low
Arunachal Pradesh,Tawang,2026-01-01,606.5,Low
Arunachal Pradesh,Tawang,2026-02-01,563.0,Low
Arunachal Pradesh,Tawang,2026-03-01,519.5,Low
Arunachal Pradesh,Tirap,2026-01-01,207.5,Low
Arunachal Pradesh,Tirap,2026-02-01,31.0,Low
Arunachal Pradesh,Tirap,2026-03-01,0.0,Low
Arunachal Pradesh,Upper Siang,2026-01-01,881.0,Low
Arunachal Pradesh,Upper Siang,2026-02-01,994.0,Low
Arunachal Pradesh,Upper Siang,2026-03-01,1107.0,Low
Arunachal Pradesh,Upper Subansiri,2026-01-01,702.5,Low
Arunachal Pradesh,Upper Subansiri,2026-02-01,782.0,Low
Arunachal Pradesh,Upper Subansiri,2026-03-01,861.5,Low
Arunachal Pradesh,West Kameng,2026-01-01,2241.5,Medium
Arunachal Pradesh,West Kameng,2026-02-01,2684.0,Medium
Arunachal Pradesh,West Kameng,2026-03-01,3126.5,Medium
Arunachal Pradesh,West Siang,2026-01-01,972.0,Low
Arunachal Pradesh,West Siang,2026-02-01,1021.0,Low
Arunachal Pradesh,West Siang,2026-03-01,1070.0,Low
Assam,Bajali,2026-01-01,514.0,Low
Assam,Bajali,2026-02-01,656.0,Low
Assam,Bajali,2026-03-01,798.0,Low
Assam,Baksa,2026-01-01,10417.5,High
Assam,Baksa,2026-02-01,12339.0,High
Assam,Baksa,2026-03-01,14260.5,High
Assam,Barpeta,2026-01-01,31311.0,High
Assam,Barpeta,2026-02-01,32051.0,High
Assam,Barpeta,2026-03-01,32791.0,High
Assam,Biswanath,2026-01-01,5552.5,Medium
Assam,Biswanath,2026-02-01,6383.0,Medium
Assam,Biswanath,2026-03-01,7213.5,Medium
Assam,Bongaigaon,2026-01-01,12416.0,High
Assam,Bongaigaon,2026-02-01,12683.0,High
Assam,Bongaigaon,2026-03-01,12950.0,High
Assam,Cachar,2026-01-01,29554.0,High
Assam,Cachar,2026-02-01,32992.0,High
Assam,Cachar,2026-03-01,36430.0,High
Assam,Charaideo,2026-01-01,3294.0,Medium
Assam,Charaideo,2026-02-01,3433.0,Medium
Assam,Charaideo,2026-03-01,3572.0,Medium
Assam,Chirang,2026-01-01,12109.0,High
Assam,Chirang,2026-02-01,13672.0,High
Assam,Chirang,2026-03-01,15235.0,High
Assam,Darrang,2026-01-01,14393.5,High
Assam,Darrang,2026-02-01,16339.0,High
Assam,Darrang,2026-03-01,18284.5,High
Assam,Dhemaji,2026-01-01,9685.0,High
Assam,Dhemaji,2026-02-01,10392.0,High
Assam,Dhemaji,2026-03-01,11099.0,High
Assam,Dhubri,2026-01-01,46998.5,High
Assam,Dhubri,2026-02-01,57063.0,High
Assam,Dhubri,2026-03-01,67127.5,High
Assam,Dibrugarh,2026-01-01,9649.0,High
Assam,Dibrugarh,2026-02-01,10927.0,High
Assam,Dibrugarh,2026-03-01,12205.0,High
Assam,Dima Hasao,2026-01-01,197.0,Low
Assam,Dima Hasao,2026-02-01,249.0,Low
Assam,Dima Hasao,2026-03-01,301.0,Low
Assam,Goalpara,2026-01-01,20213.0,High
Assam,Goalpara,2026-02-01,23458.0,High
Assam,Goalpara,2026-03-01,26703.0,High
Assam,Golaghat,2026-01-01,12172.0,High
Assam,Golaghat,2026-02-01,13835.0,High
Assam,Golaghat,2026-03-01,15498.0,High
Assam,Hailakandi,2026-01-01,14063.5,High
Assam,Hailakandi,2026-02-01,16544.0,High
Assam,Hailakandi,2026-03-01,19024.5,High
Assam,Hojai,2026-01-01,14433.0,High
Assam,Hojai,2026-02-01,16576.0,High
Assam,Hojai,2026-03-01,18719.0,High
Assam,Jorhat,2026-01-01,7168.0,Medium
Assam,Jorhat,2026-02-01,7290.0,Medium
Assam,Jorhat,2026-03-01,7412.0,Medium
Assam,Kamrup,2026-01-01,25149.5,High
Assam,Kamrup,2026-02-01,29150.0,High
Assam,Kamrup,2026-03-01,33150.5,High
Assam,Kamrup Metro,2026-01-01,14562.5,High
Assam,Kamrup Metro,2026-02-01,17514.0,High
Assam,Kamrup Metro,2026-03-01,20465.5,High
Assam,Karbi Anglong,2026-01-01,14509.5,High
Assam,Karbi Anglong,2026-02-01,15470.0,High
Assam,Karbi Anglong,2026-03-01,16430.5,High
Assam,Karimganj,2026-01-01,35449.0,High
Assam,Karimganj,2026-02-01,43031.0,High
Assam,Karimganj,2026-03-01,50613.0,High
Assam,Kokrajhar,2026-01-01,14505.0,High
Assam,Kokrajhar,2026-02-01,16873.0,High
Assam,Kokrajhar,2026-03-01,19241.0,High
Assam,Lakhimpur,2026-01-01,16795.5,High
Assam,Lakhimpur,2026-02-01,18976.0,High
Assam,Lakhimpur,2026-03-01,21156.5,High
Assam,Majuli,2026-01-01,1374.0,Low
Assam,Majuli,2026-02-01,1472.0,Low
Assam,Majuli,2026-03-01,1570.0,Low
Assam,Marigaon,2026-01-01,24787.5,High
Assam,Marigaon,2026-02-01,29354.0,High
Assam,Marigaon,2026-03-01,33920.5,High
Assam,Nagaon,2026-01-01,64334.5,High
Assam,Nagaon,2026-02-01,72688.0,High
Assam,Nagaon,2026-03-01,81041.5,High
Assam,Nalbari,2026-01-01,11325.5,High
Assam,Nalbari,2026-02-01,13015.0,High
Assam,Nalbari,2026-03-01,14704.5,High
Assam,North Cachar Hills,2026-01-01,1678.5,Low
Assam,North Cachar Hills,2026-02-01,1930.0,Low
Assam,North Cachar Hills,2026-03-01,2181.5,Medium
Assam,Sibsagar,2026-01-01,6302.5,Medium
Assam,Sibsagar,2026-02-01,7028.0,Medium
Assam,Sibsagar,2026-03-01,7753.5,Medium
Assam,Sonitpur,2026-01-01,20110.0,High
Assam,Sonitpur,2026-02-01,22778.0,High
Assam,Sonitpur,2026-03-01,25446.0,High
Assam,South Salmara Mankachar,2026-01-01,6300.5,Medium
Assam,South Salmara Mankachar,2026-02-01,7512.0,Medium
Assam,South Salmara Mankachar,2026-03-01,8723.5,High
Assam,Sribhumi,2026-01-01,3375.0,Medium
Assam,Sribhumi,2026-02-01,4237.0,Medium
Assam,Sribhumi,2026-03-01,5099.0,Medium
Assam,Tamulpur District,2026-01-01,664.5,Low
Assam,Tamulpur District,2026-02-01,798.0,Low
Assam,Tamulpur District,2026-03-01,931.5,Low
Assam,Tinsukia,2026-01-01,15503.5,High
Assam,Tinsukia,2026-02-01,17679.0,High
Assam,Tinsukia,2026-03-01,19854.5,High
Assam,Udalguri,2026-01-01,12761.0,High
Assam,Udalguri,2026-02-01,14822.0,High
Assam,Udalguri,2026-03-01,16883.0,High
Assam,West Karbi Anglong,2026-01-01,1417.5,Low
Assam,West Karbi Anglong,2026-02-01,1594.0,Low
Assam,West Karbi Anglong,2026-03-01,1770.5,Low
Bihar,Araria,2026-01-01,66720.5,High
Bihar,Araria,2026-02-01,76169.0,High
Bihar,Araria,2026-03-01,85617.5,High
Bihar,Arwal,2026-01-01,13306.5,High
Bihar,Arwal,2026-02-01,16115.0,High
Bihar,Arwal,2026-03-01,18923.5,High
Bihar,Aurangabad,2026-01-01,46112.0,High
Bihar,Aurangabad,2026-02-01,54935.0,High
Bihar,Aurangabad,2026-03-01,63758.0,High
Bihar,Aurangabad(BH),2026-01-01,18.5,Low
Bihar,Aurangabad(BH),2026-02-01,23.0,Low
Bihar,Aurangabad(BH),2026-03-01,27.5,Low
Bihar,Aurangabad(bh),2026-01-01,384.5,Low
Bihar,Aurangabad(bh),2026-02-01,466.0,Low
Bihar,Aurangabad(bh),2026-03-01,547.5,Low
Bihar,Banka,2026-01-01,43555.5,High
Bihar,Banka,2026-02-01,51717.0,High
Bihar,Banka,2026-03-01,59878.5,High
Bihar,Begusarai,2026-01-01,74197.0,High
Bihar,Begusarai,2026-02-01,91098.0,High
Bihar,Begusarai,2026-03-01,107999.0,High
Bihar,Bhabua,2026-01-01,57.5,Low
Bihar,Bhabua,2026-02-01,69.0,Low
Bihar,Bhabua,2026-03-01,80.5,Low
Bihar,Bhagalpur,2026-01-01,65709.5,High
Bihar,Bhagalpur,2026-02-01,77671.0,High
Bihar,Bhagalpur,2026-03-01,89632.5,High
Bihar,Bhojpur,2026-01-01,50619.5,High
Bihar,Bhojpur,2026-02-01,59532.0,High
Bihar,Bhojpur,2026-03-01,68444.5,High
Bihar,Buxar,2026-01-01,32937.0,High
Bihar,Buxar,2026-02-01,38909.0,High
Bihar,Buxar,2026-03-01,44881.0,High
Bihar,Darbhanga,2026-01-01,84331.0,High
Bihar,Darbhanga,2026-02-01,100743.0,High
Bihar,Darbhanga,2026-03-01,117155.0,High
Bihar,East Champaran,2026-01-01,121884.5,High
Bihar,East Champaran,2026-02-01,146987.0,High
Bihar,East Champaran,2026-03-01,172089.5,High
Bihar,Gaya,2026-01-01,89041.5,High
Bihar,Gaya,2026-02-01,108159.0,High
Bihar,Gaya,2026-03-01,127276.5,High
Bihar,Gopalganj,2026-01-01,52935.5,High
Bihar,Gopalganj,2026-02-01,62729.0,High
Bihar,Gopalganj,2026-03-01,72522.5,High
Bihar,Jamui,2026-01-01,43398.5,High
Bihar,Jamui,2026-02-01,53186.0,High
Bihar,Jamui,2026-03-01,62973.5,High
Bihar,Jehanabad,2026-01-01,19364.5,High
Bihar,Jehanabad,2026-02-01,22950.0,High
Bihar,Jehanabad,2026-03-01,26535.5,High
Bihar,Kaimur (Bhabua),2026-01-01,29947.0,High
Bihar,Kaimur (Bhabua),2026-02-01,34285.0,High
Bihar,Kaimur (Bhabua),2026-03-01,38623.0,High
Bihar,Katihar,2026-01-01,86262.0,High
Bihar,Katihar,2026-02-01,100562.0,High
Bihar,Katihar,2026-03-01,114862.0,High
Bihar,Khagaria,2026-01-01,46800.5,High
Bihar,Khagaria,2026-02-01,58019.0,High
Bihar,Khagaria,2026-03-01,69237.5,High
Bihar,Kishanganj,2026-01-01,60777.5,High
Bihar,Kishanganj,2026-02-01,70920.0,High
Bihar,Kishanganj,2026-03-01,81062.5,High
Bihar,Lakhisarai,2026-01-01,24313.5,High
Bihar,Lakhisarai,2026-02-01,29018.0,High
Bihar,Lakhisarai,2026-03-01,33722.5,High
Bihar,Madhepura,2026-01-01,52033.5,High
Bihar,Madhepura,2026-02-01,61492.0,High
Bihar,Madhepura,2026-03-01,70950.5,High
Bihar,Madhubani,2026-01-01,101472.0,High
Bihar,Madhubani,2026-02-01,122167.0,High
Bihar,Madhubani,2026-03-01,142862.0,High
Bihar,Monghyr,2026-01-01,150.5,Low
Bihar,Monghyr,2026-02-01,181.0,Low
Bihar,Monghyr,2026-03-01,211.5,Low
Bihar,Munger,2026-01-01,30043.5,High
Bihar,Munger,2026-02-01,37178.0,High
Bihar,Munger,2026-03-01,44312.5,High
Bihar,Muzaffarpur,2026-01-01,105029.5,High
Bihar,Muzaffarpur,2026-02-01,127126.0,High
Bihar,Muzaffarpur,2026-03-01,149222.5,High
Bihar,Nalanda,2026-01-01,63650.5,High
Bihar,Nalanda,2026-02-01,76431.0,High
Bihar,Nalanda,2026-03-01,89211.5,High
Bihar,Nawada,2026-01-01,40847.5,High
Bihar,Nawada,2026-02-01,48839.0,High
Bihar,Nawada,2026-03-01,56830.5,High
Bihar,Pashchim Champaran,2026-01-01,387.5,Low
Bihar,Pashchim Champaran,2026-02-01,415.0,Low
Bihar,Pashchim Champaran,2026-03-01,442.5,Low
Bihar,Patna,2026-01-01,109945.5,High
Bihar,Patna,2026-02-01,131629.0,High
Bihar,Patna,2026-03-01,153312.5,High
Bihar,Purba Champaran,2026-01-01,460.0,Low
Bihar,Purba Champaran,2026-02-01,543.0,Low
Bihar,Purba Champaran,2026-03-01,626.0,Low
Bihar,Purbi Champaran,2025-08-01,0.0,Low
Bihar,Purbi Champaran,2025-09-01,0.0,Low
Bihar,Purbi Champaran,2025-10-01,0.0,Low
Bihar,Purnea,2026-01-01,1445.0,Low
Bihar,Purnea,2026-02-01,1629.0,Low
Bihar,Purnea,2026-03-01,1813.0,Low
Bihar,Purnia,2026-01-01,85669.5,High
Bihar,Purnia,2026-02-01,101479.0,High
Bihar,Purnia,2026-03-01,117288.5,High
Bihar,Rohtas,2026-01-01,57447.5,High
Bihar,Rohtas,2026-02-01,67885.0,High
Bihar,Rohtas,2026-03-01,78322.5,High
Bihar,Saharsa,2026-01-01,40821.0,High
Bihar,Saharsa,2026-02-01,47540.0,High
Bihar,Saharsa,2026-03-01,54259.0,High
Bihar,Samastipur,2026-01-01,103922.5,High
Bihar,Samastipur,2026-02-01,127180.0,High
Bihar,Samastipur,2026-03-01,150437.5,High
Bihar,Samstipur,2026-01-01,250.5,Low
Bihar,Samstipur,2026-02-01,299.0,Low
Bihar,Samstipur,2026-03-01,347.5,Low
Bihar,Saran,2026-01-01,84221.5,High
Bihar,Saran,2026-02-01,100941.0,High
Bihar,Saran,2026-03-01,117660.5,High
Bihar,Sheikhpura,2026-01-01,13729.5,High
Bihar,Sheikhpura,2026-02-01,16079.0,High
Bihar,Sheikhpura,2026-03-01,18428.5,High
Bihar,Sheikpura,2026-01-01,91.5,Low
Bihar,Sheikpura,2026-02-01,106.0,Low
Bihar,Sheikpura,2026-03-01,120.5,Low
Bihar,Sheohar,2026-01-01,14511.5,High
Bihar,Sheohar,2026-02-01,17084.0,High
Bihar,Sheohar,2026-03-01,19656.5,High
Bihar,Sitamarhi,2026-01-01,88403.5,High
Bihar,Sitamarhi,2026-02-01,107750.0,High
Bihar,Sitamarhi,2026-03-01,127096.5,High
Bihar,Siwan,2026-01-01,67506.0,High
Bihar,Siwan,2026-02-01,80433.0,High
Bihar,Siwan,2026-03-01,93360.0,High
Bihar,Supaul,2026-01-01,43131.0,High
Bihar,Supaul,2026-02-01,48764.0,High
Bihar,Supaul,2026-03-01,54397.0,High
Bihar,Vaishali,2026-01-01,78699.5,High
Bihar,Vaishali,2026-02-01,94279.0,High
Bihar,Vaishali,2026-03-01,109858.5,High
Bihar,West Champaran,2026-01-01,94613.5,High
Bihar,West Champaran,2026-02-01,108657.0,High
Bihar,West Champaran,2026-03-01,122700.5,High
