state,district,month,enrol_total,demo_total,bio_total,update_total,update_pressure,growth_rate,rolling_updates,privacy_flag,confidence_score,service_stress_score,stress_level,enrol_norm,update_norm,pressure_norm,growth_norm,aadhaar_maturity_index,maturity_category
Andaman & Nicobar Islands,Nicobars,2025-12,0.0,0.0,1.0,1.0,0.0,-0.75,2.0,Suppressed,0.5,-1.5,Low,0.0,4.647488032718316e-06,0.0,0.01404151404151404,0.0014055456505612197,Underserved
Andaman & Nicobar Islands,South Andaman,2025-09,18.0,76.0,120.0,196.0,10.88888888888889,0.0,196.0,Suppressed,0.5,0.0,Low,0.0010864316755190729,0.0009109076544127899,0.0034978762893957244,0.05616605616605617,0.007024025841016229,Underserved
Andaman & Nicobar Islands,South Andaman,2025-10,7.0,40.0,83.0,123.0,17.571428571428573,-0.37244897959183676,159.5,Suppressed,0.5,-59.405612244897966,Low,0.0004225012071463061,0.0005716410280243528,0.005644532146298932,0.035247065859310756,0.00499410580645669,Underserved
Andaman & Nicobar Islands,South Andaman,2025-11,9.0,107.0,96.0,203.0,22.555555555555557,0.6504065040650406,174.0,Suppressed,0.5,113.17073170731707,High,0.0005432158377595364,0.0009434400706418182,0.007245600885176858,0.09269682440414148,0.011219120973745882,Underserved
Andaman & Nicobar Islands,South Andaman,2025-12,11.0,91.0,117.0,208.0,18.90909090909091,0.024630541871921263,178.0,Suppressed,0.5,4.384236453201985,High,0.0006639304683727668,0.0009666775108054097,0.006074234150045266,0.057549456564234894,0.007525367927023272,Underserved
Andaman and Nicobar Islands,Nicobar,2025-03,0.0,392.0,428.0,820.0,0.0,0.0,820.0,Suppressed,0.5,0.0,Low,0.0,0.003810940186829019,0.0,0.05616605616605617,0.006759887672654323,Underserved
Andaman and Nicobar Islands,Nicobar,2025-04,0.0,0.0,268.0,268.0,0.0,-0.673170731707317,544.0,Suppressed,0.5,-366.2048780487805,Low,0.0,0.0012455267927685087,0.0,0.018356711039637874,0.00220932914179434,Underserved
Andaman and Nicobar Islands,Nicobar,2025-05,0.0,0.0,84.0,84.0,0.0,-0.6865671641791045,390.6666666666667,Suppressed,0.5,-268.21890547263683,Low,0.0,0.00039038899474833853,0.0,0.01760428626100268,0.00187754532452477,Underserved
Andaman and Nicobar Islands,Nicobar,2025-06,0.0,0.0,136.0,136.0,0.0,0.6190476190476191,162.66666666666666,Suppressed,0.5,100.6984126984127,High,0.0,0.000632058372449691,0.0,0.09093551950694809,0.009283169462429717,Underserved
Andaman and Nicobar Islands,Nicobar,2025-07,0.0,0.0,242.0,242.0,0.0,0.7794117647058822,154.0,Suppressed,0.5,120.02941176470587,High,0.0,0.0011246921039178325,0.0,0.09994254111901171,0.010331661743076521,Underserved
Andaman and Nicobar Islands,Nicobar,2025-09,56.0,151.0,301.0,452.0,8.071428571428571,0.8677685950413223,276.6666666666667,Safe,0.5,240.0826446280992,High,0.003380009657170449,0.0021006645907886787,0.0025928135468771514,0.10490519581428673,0.012991285530908886,Underserved
Andaman and Nicobar Islands,Nicobar,2025-10,11.0,61.0,109.0,170.0,15.454545454545455,-0.6238938053097345,288.0,Suppressed,0.5,-179.68141592920352,Low,0.0006639304683727668,0.0007900729655621137,0.004964518295710073,0.02112440165537511,0.0036079379016972666,Underserved
Andaman and Nicobar Islands,Nicobar,2025-11,22.0,117.0,227.0,344.0,15.636363636363637,1.0235294117647058,322.0,Suppressed,0.5,329.5764705882353,High,0.0013278609367455335,0.0015987358832551006,0.005022924393306661,0.11365366659484306,0.013380716677820384,Underserved
Andaman and Nicobar Islands,Nicobar,2025-12,6.0,83.0,289.0,372.0,62.0,0.08139534883720922,295.3333333333333,Suppressed,0.5,24.038759689922458,High,0.00036214389183969096,0.0017288655481712135,0.01991647928043688,0.060737711900502596,0.010720584267324876,Underserved
Andaman and Nicobar Islands,North And Middle Andaman,2025-03,0.0,422.0,1115.0,1537.0,0.0,0.0,1537.0,Suppressed,0.5,0.0,Low,0.0,0.007143189106288052,0.0,0.05616605616605617,0.007759562348492033,Underserved
Andaman and Nicobar Islands,North And Middle Andaman,2025-04,0.0,0.0,971.0,971.0,0.0,-0.3682498373454782,1254.0,Suppressed,0.5,-461.7852960312297,Low,0.0,0.004512710879769484,0.0,0.03548291511856899,0.004902104775787744,Underserved
Andaman and Nicobar Islands,North And Middle Andaman,2025-05,0.0,0.0,522.0,522.0,0.0,-0.46240988671472705,1010.0,Suppressed,0.5,-467.03398558187433,Low,0.0,0.0024259887530789608,0.0,0.03019431649709714,0.0037472282756334024,Underserved
Andaman and Nicobar Islands,North And Middle Andaman,2025-06,0.0,0.0,745.0,745.0,0.0,0.42720306513409967,746.0,Suppressed,0.5,318.69348659003833,High,0.0,0.0034623785843751454,0.0,0.08016036751668937,0.009054750326981482,Underserved
Andaman and Nicobar Islands,North And Middle Andaman,2025-07,0.0,438.0,1375.0,1813.0,0.0,1.4335570469798657,1026.6666666666667,Suppressed,0.5,1471.785234899329,High,0.0,0.008425895803318307,0.0,0.13668330178397292,0.016196098919392783,Underserved
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,54.0,253.0,881.0,1134.0,21.0,-0.37451737451737455,1230.6666666666667,Safe,0.5,-460.90604890604897,Low,0.003259295026557219,0.00527025142910257,0.00674590427240604,0.035130892273749416,0.007747063521209808,Underserved
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,24.0,152.0,471.0,623.0,25.958333333333332,-0.4506172839506173,1190.0,Suppressed,0.5,-536.2345679012345,Low,0.0014485755673587638,0.0028953850443835106,0.00833868722561302,0.030856660486290117,0.006201449234010175,Underserved
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,37.0,333.0,718.0,1051.0,28.405405405405407,0.6869983948635634,936.0,Safe,0.5,643.0304975922953,High,0.002233220666344761,0.00488450992238695,0.00912476884208333,0.0947520465979535,0.013658799671466007,Underserved
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,47.0,475.0,757.0,1232.0,26.21276595744681,0.1722169362511894,968.6666666666666,Safe,0.5,166.82080558198544,High,0.0028367938194109126,0.005725705256308966,0.008420419517329525,0.06583880228028659,0.011120393236151618,Underserved
Andaman and Nicobar Islands,South Andaman,2025-03,0.0,524.0,1398.0,1922.0,0.0,0.0,1922.0,Suppressed,0.5,0.0,Low,0.0,0.008932471998884603,0.0,0.05616605616605617,0.008296347216270998,Underserved
Andaman and Nicobar Islands,South Andaman,2025-04,0.0,0.0,1321.0,1321.0,0.0,-0.31269510926118627,1621.5,Suppressed,0.5,-507.03511966701353,Low,0.0,0.006139331691220895,0.0,0.038603205096441315,0.0057021200170104,Underserved
Andaman and Nicobar Islands,South Andaman,2025-05,0.0,0.0,1109.0,1109.0,0.0,-0.1604844814534444,1450.6666666666667,Suppressed,0.5,-232.8094877617967,Low,0.0,0.0051540642282846124,0.0,0.04715227576696161,0.006261446845181546,Underserved
Andaman and Nicobar Islands,South Andaman,2025-06,0.0,0.0,923.0,923.0,0.0,-0.1677186654643823,1117.6666666666667,Suppressed,0.5,-187.45356176735797,Low,0.0,0.004289631454199005,0.0,0.04674596018148769,0.005961485454408471,Underserved
Andaman and Nicobar Islands,South Andaman,2025-07,0.0,0.0,1328.0,1328.0,0.0,0.438786565547129,1120.0,Suppressed,0.5,491.4409534127845,High,0.0,0.006171864107449923,0.0,0.0808109670514871,0.009932655937383688,Underserved
Andaman and Nicobar Islands,South Andaman,2025-09,70.0,425.0,1622.0,2047.0,29.242857142857144,0.5414156626506024,1432.6666666666667,Safe,0.5,775.6681726907631,High,0.004225012071463061,0.009513408002974393,0.009393786425588546,0.08657523868367242,0.015080308382962494,Underserved
Andaman and Nicobar Islands,South Andaman,2025-10,40.0,392.0,876.0,1268.0,31.7,-0.3805569125549585,1547.6666666666667,Safe,0.5,-588.9752483308907,Low,0.0024142926122646064,0.005893014825486825,0.010183103115965307,0.03479167524111344,0.008249409639856296,Underserved
Andaman and Nicobar Islands,South Andaman,2025-11,60.0,841.0,893.0,1734.0,28.9,0.36750788643533117,1683.0,Safe,0.5,618.5157728706623,High,0.0036214389183969096,0.00805874424873356,0.009283649212977835,0.07680752475705158,0.013403681160279558,Underserved
Andaman and Nicobar Islands,South Andaman,2025-12,67.0,1372.0,1593.0,2965.0,44.25373134328358,0.709919261822376,1989.0,Safe,0.5,1412.0294117647059,High,0.004043940125543216,0.013779802017009806,0.0142157826351698,0.09603942129893686,0.018198615312247875,Underserved
Andhra Pradesh,Adilabad,2025-03,0.0,4340.0,5856.0,10196.0,0.0,0.0,10196.0,Suppressed,0.5,0.0,Low,0.0,0.04738578798159595,0.0,0.05616605616605617,0.0198323420110844,Underserved
Andhra Pradesh,Adilabad,2025-04,0.0,0.0,3516.0,3516.0,0.0,-0.6551588858375834,6856.0,Suppressed,0.5,-4491.769321302472,Low,0.0,0.016340567923037598,0.0,0.01936836538641168,0.006839006915552447,Underserved
Andhra Pradesh,Adilabad,2025-05,0.0,0.0,3418.0,3418.0,0.0,-0.027872582480091057,5710.0,Suppressed,0.5,-159.15244596131993,Low,0.0,0.015885114095831203,0.0,0.05460056313298634,0.010225590542047996,Underserved
Andhra Pradesh,Adilabad,2025-06,0.0,0.0,5640.0,5640.0,0.0,0.6500877706260972,4191.333333333333,Suppressed,0.5,2724.734542617515,High,0.0,0.026211832504531303,0.0,0.09267892240390779,0.017131441991750172,Underserved
Andhra Pradesh,Adilabad,2025-07,0.0,0.0,7128.0,7128.0,0.0,0.2638297872340425,5395.333333333333,Suppressed,0.5,1423.4496453900706,High,0.0,0.033127294697216154,0.0,0.07098433481412204,0.01703662189057705,Underserved
Andhra Pradesh,Adilabad,2025-09,782.0,5702.0,9492.0,15194.0,19.429667519181585,1.1315937149270483,9320.666666666666,Safe,1.0,10547.207818930041,High,0.047199420569773054,0.0706139331691221,0.006241460815670281,0.1197232123158049,0.0532845615733604,Underserved
Andhra Pradesh,Adilabad,2025-10,370.0,5118.0,9073.0,14191.0,38.35405405405405,-0.06601289982887981,12171.0,Safe,1.0,-803.4430038172962,Low,0.02233220666344761,0.06595250267230562,0.012320608433682639,0.052458371926583064,0.03642859234646557,Underserved
Andhra Pradesh,Adilabad,2025-11,478.0,7365.0,6823.0,14188.0,29.682008368200837,-0.00021140159255861324,14524.333333333334,Safe,1.0,-3.0704671975188185,Low,0.028850796716562047,0.06593856020820747,0.009534856526887516,0.056154182572334926,0.03884427631169806,Underserved
Andhra Pradesh,Adilabad,2025-12,152.0,7829.0,8528.0,16357.0,107.61184210526316,0.1528756695799267,14912.0,Safe,1.0,2279.681984775867,High,0.009174311926605505,0.0760189617511735,0.034568532639018046,0.06475247961010577,0.03986436778480844,Underserved
Andhra Pradesh,Alluri Sitharama Raju,2025-03,0.0,4955.0,2471.0,7426.0,0.0,0.0,7426.0,Suppressed,0.5,0.0,Low,0.0,0.03451224613096621,0.0,0.05616605616605617,0.01597027945589548,Underserved
Andhra Pradesh,Alluri Sitharama Raju,2025-04,0.0,0.0,1969.0,1969.0,0.0,-0.7348505251817937,4697.5,Suppressed,0.5,-3451.960342041476,Low,0.0,0.009150903936422363,0.0,0.014892400295039666,0.004234511210430676,Underserved
Andhra Pradesh,Alluri Sitharama Raju,2025-05,0.0,0.0,2089.0,2089.0,0.0,0.06094464195022864,3828.0,Suppressed,0.5,233.29608938547523,High,0.0,0.009708602500348561,0.0,0.059589076348852896,0.008871488384989858,Underserved
Andhra Pradesh,Alluri Sitharama Raju,2025-06,0.0,167.0,2936.0,3103.0,0.0,0.48539971278123506,2387.0,Suppressed,0.5,1158.6491144088081,High,0.0,0.014421155365524935,0.0,0.08342904369711454,0.012669250979368933,Underserved
Andhra Pradesh,Alluri Sitharama Raju,2025-07,0.0,0.0,1848.0,1848.0,0.0,-0.40444730905575255,2346.6666666666665,Suppressed,0.5,-949.103018584166,Low,0.0,0.008588557884463447,0.0,0.033449845889420494,0.0059215519542810836,Underserved
Andhra Pradesh,Alluri Sitharama Raju,2025-09,456.0,1620.0,1670.0,3290.0,7.214912280701754,0.7803030303030303,2747.0,Safe,1.0,2143.492424242424,High,0.027522935779816512,0.01529023562764326,0.002317671789496227,0.09999259999259999,0.026059039357378827,Underserved
Andhra Pradesh,Alluri Sitharama Raju,2025-10,381.0,1627.0,2537.0,4164.0,10.929133858267717,0.26565349544072947,3100.6666666666665,Safe,1.0,823.7029381965551,High,0.022996137131820377,0.01935214016823907,0.0035108043232469376,0.07108676531168932,0.022814934299018194,Underserved
Andhra Pradesh,Alluri Sitharama Raju,2025-11,458.0,2304.0,2671.0,4975.0,10.862445414847162,0.19476464937560034,4143.0,Safe,1.0,806.9099423631122,High,0.027643650410429745,0.023121252962773623,0.0034893817587045173,0.06710521840204837,0.025402234244949726,Underserved
Andhra Pradesh,Alluri Sitharama Raju,2025-12,313.0,2526.0,2896.0,5422.0,17.322683706070286,0.08984924623115575,4853.666666666667,Safe,1.0,436.09829145728634,High,0.018891839690970545,0.025198680113398708,0.005564626953443716,0.061212533976353074,0.02235051869873188,Underserved
Andhra Pradesh,Anakapalli,2025-03,0.0,3164.0,584.0,3748.0,0.0,0.0,3748.0,Suppressed,0.5,0.0,Low,0.0,0.017418785146628247,0.0,0.05616605616605617,0.010842241160594093,Underserved
Andhra Pradesh,Anakapalli,2025-04,0.0,0.0,940.0,940.0,0.0,-0.7491995731056563,2344.0,Suppressed,0.5,-1756.1237993596585,Low,0.0,0.004368638750755217,0.0,0.01408647086341857,0.002719238711568422,Underserved
Andhra Pradesh,Anakapalli,2025-05,0.0,0.0,1045.0,1045.0,0.0,0.11170212765957444,1911.0,Suppressed,0.5,213.46276595744675,High,0.0,0.00485662499419064,0.0,0.0624399241420518,0.007700979912462373,Underserved
Andhra Pradesh,Anakapalli,2025-06,0.0,582.0,1101.0,1683.0,0.0,0.6105263157894736,1222.6666666666667,Suppressed,0.5,746.4701754385965,High,0.0,0.007821722359064925,0.0,0.09045691150954308,0.011392207858673786,Underserved
Andhra Pradesh,Anakapalli,2025-07,0.0,556.0,551.0,1107.0,0.0,-0.34224598930481287,1278.3333333333333,Suppressed,0.5,-437.50445632798574,Low,0.0,0.005144769252219176,0.0,0.036943448708154594,0.005237775646481212,Underserved
Andhra Pradesh,Anakapalli,2025-09,182.0,1608.0,504.0,2112.0,11.604395604395604,0.9078590785907859,1634.0,Safe,1.0,1483.4417344173442,High,0.01098503138580396,0.009815494725101083,0.0037277210422086747,0.10715692016505024,0.01879989719679867,Underserved
Andhra Pradesh,Anakapalli,2025-10,107.0,1462.0,797.0,2259.0,21.11214953271028,0.06960227272727271,1826.0,Safe,1.0,127.09374999999996,High,0.006458232737807822,0.010498675465910675,0.006781930463446926,0.06007534132534133,0.01309681596011985,Underserved
Andhra Pradesh,Anakapalli,2025-11,251.0,2245.0,948.0,3193.0,12.721115537848606,0.4134572819831783,2521.3333333333335,Safe,1.0,1042.463626973587,High,0.015149686141960404,0.014839429288469583,0.004086448936025893,0.07938832108818829,0.019267825139349045,Underserved
Andhra Pradesh,Anakapalli,2025-12,161.0,4203.0,1264.0,5467.0,33.95652173913044,0.7121829000939555,3639.6666666666665,Safe,1.0,2592.1083620419663,High,0.00971752776436504,0.025407817074871032,0.010907973575049933,0.09616656093323804,0.02330760703654112,Underserved
Andhra Pradesh,Anantapur,2025-03,0.0,19966.0,11990.0,31956.0,0.0,0.0,31956.0,Suppressed,0.5,0.0,Low,0.0,0.1485151275735465,0.0,0.05616605616605617,0.05017114388866957,Underserved
Andhra Pradesh,Anantapur,2025-04,0.0,0.0,11330.0,11330.0,0.0,-0.6454499937413944,21643.0,Suppressed,0.5,-13969.474214545,Low,0.0,0.05265603941069852,0.0,0.019913675565196402,0.017788179379729194,Underserved
Andhra Pradesh,Anantapur,2025-05,0.0,0.0,11682.0,11682.0,0.0,0.03106796116504862,18322.666666666668,Suppressed,0.5,569.2478964401308,High,0.0,0.054291955198215364,0.0,0.057911021017817144,0.022078688661246324,Underserved
Andhra Pradesh,Anantapur,2025-06,0.0,1186.0,12618.0,13804.0,0.0,0.1816469782571477,12272.0,Suppressed,0.5,2229.171717171717,High,0.0,0.06415392480364364,0.0,0.06636845054924151,0.025883022496017243,Underserved
Andhra Pradesh,Anantapur,2025-07,0.0,0.0,7796.0,7796.0,0.0,-0.43523616343088956,11094.0,Suppressed,0.5,-4828.509997102289,Low,0.0,0.03623181670307199,0.0,0.031720557365298024,0.014041600747451399,Underserved
Andhra Pradesh,Anantapur,2025-09,1678.0,8920.0,7028.0,15948.0,9.504171632896306,1.0456644433042586,12516.0,Safe,1.0,13087.5361723961,High,0.10127957508450024,0.0741181391457917,0.003053058667811213,0.11489690401953101,0.07484757391305297,Underserved
Andhra Pradesh,Anantapur,2025-10,1379.0,10484.0,15637.0,26121.0,18.94198694706309,0.6378856282919487,16621.666666666668,Safe,1.0,10602.722284926009,High,0.08323273780782231,0.12139703490263513,0.006084801460669159,0.09199357619222179,0.08012852350527548,Underserved
Andhra Pradesh,Anantapur,2025-11,1855.0,14774.0,14707.0,29481.0,15.892722371967656,0.12863213506374183,23850.0,Safe,1.0,3067.8764212702426,High,0.11196281989377112,0.13701259469256868,0.005105275416629507,0.06339081588880602,0.09324904303748555,Underserved
Andhra Pradesh,Anantapur,2025-12,831.0,16203.0,15392.0,31595.0,38.02045728038508,0.07170720124826158,29065.666666666668,Safe,1.0,2084.217609081555,High,0.050156929019797195,0.1468373843937352,0.012213445962218145,0.060193566858876724,0.07257603280437074,Underserved
Andhra Pradesh,Ananthapur,2025-03,0.0,9330.0,16985.0,26315.0,0.0,0.0,26315.0,Suppressed,0.5,0.0,Low,0.0,0.12229864758098248,0.0,0.05616605616605617,0.04230619989090036,Underserved
Andhra Pradesh,Ananthapur,2025-04,0.0,0.0,17894.0,17894.0,0.0,-0.3200076002280069,22104.5,Suppressed,0.5,-7073.607999239978,Low,0.0,0.08316215085746155,0.0,0.03819249131808508,0.028767894389046974,Underserved
Andhra Pradesh,Ananthapur,2025-05,0.0,0.0,12658.0,12658.0,0.0,-0.29261204873141833,18955.666666666668,Suppressed,0.5,-5546.656458403189,Low,0.0,0.05882790351814844,0.0,0.03973119140214256,0.021621490195658788,Underserved
Andhra Pradesh,Ananthapur,2025-06,0.0,0.0,11354.0,11354.0,0.0,-0.10301785432137778,13968.666666666666,Suppressed,0.5,-1439.0220677305524,Low,0.0,0.05276757912348376,0.0,0.05037994957413507,0.020868268694458635,Underserved
Andhra Pradesh,Ananthapur,2025-07,0.0,0.0,4769.0,4769.0,0.0,-0.5799718161000529,9593.666666666666,Suppressed,0.5,-5564.056279725207,Low,0.0,0.02216387042803365,0.0,0.023591326568250998,0.009008293785235195,Underserved
Andhra Pradesh,Ananthapur,2025-09,681.0,2966.0,3812.0,6778.0,9.953010279001468,0.42126231914447465,7633.666666666667,Safe,1.0,3215.7761235758717,High,0.041103331723804926,0.031500673885764746,0.003197240693543678,0.07982669924376781,0.03451365291833691,Underserved
Andhra Pradesh,Ananthapur,2025-10,592.0,5154.0,9630.0,14784.0,24.972972972972972,1.1811743877249925,8777.0,Safe,1.0,10367.16760106226,High,0.03573153066151617,0.06870846307570758,0.008022156432050426,0.1225079631689251,0.04876037879062134,Underserved
Andhra Pradesh,Ananthapur,2025-11,705.0,6849.0,7778.0,14627.0,20.747517730496455,-0.010619588744588793,12063.0,Safe,1.0,-128.10409902597462,Low,0.04255190729116369,0.0679788074545708,0.006664798499998861,0.05556959574816717,0.044304324427653204,Underserved
Andhra Pradesh,Ananthapur,2025-12,568.0,6902.0,8173.0,15075.0,26.54049295774648,0.030628290148355886,14828.666666666666,Safe,1.0,454.17670517991996,High,0.03428295509415741,0.07006088209322861,0.008525696420734495,0.05788632643079899,0.04222521859285835,Underserved
Andhra Pradesh,Ananthapuramu,2025-03,0.0,10438.0,21014.0,31452.0,0.0,0.0,31452.0,Suppressed,0.5,0.0,Low,0.0,0.14617279360505647,0.0,0.05616605616605617,0.04946844369812256,Underserved
Andhra Pradesh,Ananthapuramu,2025-04,0.0,2304.0,24392.0,26696.0,0.0,-0.1512145491542668,29074.0,Suppressed,0.5,-4396.411802111153,Low,0.0,0.12406934052144816,0.0,0.047672931305132754,0.04198809528694772,Underserved
Andhra Pradesh,Ananthapuramu,2025-05,0.0,7514.0,23653.0,31167.0,0.0,0.1674782738987115,29771.666666666668,Suppressed,0.5,4986.10734442114,High,0.0,0.14484825951573174,0.0,0.06557265030444534,0.05001174288516406,Underserved
Andhra Pradesh,Ananthapuramu,2025-06,0.0,4499.0,18222.0,22721.0,0.0,-0.27099175409888665,26861.333333333332,Suppressed,0.5,-7279.199837434893,Low,0.0,0.10559557559139285,0.0,0.040945518084800014,0.035773224485897856,Underserved
Andhra Pradesh,Ananthapuramu,2025-07,0.0,6444.0,7298.0,13742.0,0.0,-0.395185071079618,22543.333333333332,Suppressed,0.5,-8908.788785704854,Low,0.0,0.06386578054561509,0.0,0.033970069267811445,0.02255674109046567,Underserved
Andhra Pradesh,Ananthapuramu,2025-09,1164.0,3984.0,4727.0,8711.0,7.483676975945017,-0.36610391500509387,15058.0,Safe,1.0,-5512.792752146704,Low,0.07025591501690004,0.04048426825300925,0.0024040080231111523,0.03560344311326701,0.04428879239861172,Underserved
Andhra Pradesh,Ananthapuramu,2025-10,964.0,5093.0,12038.0,17131.0,17.770746887966805,0.9665939616576742,13194.666666666666,Safe,1.0,12753.885126085792,High,0.05818445195557701,0.07961611748849746,0.0057085598740657904,0.11045582690629184,0.05934591069422239,Underserved
Andhra Pradesh,Ananthapuramu,2025-11,1177.0,6881.0,8714.0,15595.0,13.249787595581989,-0.08966201622789094,13812.333333333334,Safe,1.0,-1238.4416554783722,Low,0.07104056011588604,0.07247757587024213,0.004256276130929004,0.051130094326638606,0.05612376146627672,Underserved
Andhra Pradesh,Ananthapuramu,2025-12,829.0,10382.0,9885.0,20267.0,24.447527141133897,0.29958319974350744,17664.333333333332,Safe,1.0,5291.937501335897,High,0.050036214389183965,0.09419063995910211,0.007853365609101798,0.07299246298925682,0.057141597164150265,Underserved
Andhra Pradesh,Annamayya,2025-03,0.0,3798.0,674.0,4472.0,0.0,0.0,4472.0,Suppressed,0.5,0.0,Low,0.0,0.02078356648231631,0.0,0.05616605616605617,0.011851675561300509,Underserved
Andhra Pradesh,Annamayya,2025-04,0.0,2020.0,1536.0,3556.0,0.0,-0.20483005366726292,4014.0,Suppressed,0.5,-822.1878354203934,Low,0.0,0.01652646744434633,0.0,0.04466155986728438,0.009424096220032336,Underserved
Andhra Pradesh,Annamayya,2025-05,0.0,4976.0,2117.0,7093.0,0.0,0.9946569178852644,5040.333333333333,Suppressed,0.5,5013.402418447694,High,0.0,0.032964632616071014,0.0,0.11203201248195624,0.02109259103301693,Underserved
Andhra Pradesh,Annamayya,2025-06,0.0,5671.0,1814.0,7485.0,0.0,0.05526575496968844,6044.666666666667,Suppressed,0.5,334.0630668734434,High,0.0,0.034786447924896595,0.0,0.059270115663743184,0.0163629459438433,Underserved
Andhra Pradesh,Annamayya,2025-07,0.0,3754.0,1039.0,4793.0,0.0,-0.3596526386105544,6457.0,Suppressed,0.5,-2322.2770875083497,Low,0.0,0.022275410140818887,0.0,0.035965785865585465,0.010279201628804212,Underserved
Andhra Pradesh,Annamayya,2025-09,356.0,2355.0,698.0,3053.0,8.575842696629213,-0.36302941790110577,5110.333333333333,Safe,1.0,-1855.2013352806173,Low,0.021487204249154998,0.014188780963889019,0.0027548482803177684,0.035776125490291986,0.016980098193921458,Underserved
Andhra Pradesh,Annamayya,2025-10,254.0,2454.0,1274.0,3728.0,14.67716535433071,0.22109400589584016,3858.0,Safe,1.0,852.9806747461513,High,0.01533075808788025,0.017325835385973883,0.004714797736694735,0.06858403451918028,0.01913141685020124,Underserved
Andhra Pradesh,Annamayya,2025-11,406.0,3813.0,1353.0,5166.0,12.724137931034482,0.3857296137339057,3982.3333333333335,Safe,1.0,1536.103898426324,High,0.024505070014485753,0.02400892317702282,0.004087419830078536,0.07783096731594587,0.02560528565651144,Underserved
Andhra Pradesh,Annamayya,2025-12,295.0,5407.0,1743.0,7150.0,24.23728813559322,0.3840495547812621,5348.0,Safe,1.0,2053.89701897019,High,0.01780540801545147,0.03322953943393596,0.007785829789782596,0.07773660503044941,0.026421851497362835,Underserved
Andhra Pradesh,Bapatla,2025-03,0.0,1885.0,280.0,2165.0,0.0,0.0,2165.0,Suppressed,0.5,0.0,Low,0.0,0.010061811590835154,0.0,0.05616605616605617,0.008635149093856164,Underserved
Andhra Pradesh,Bapatla,2025-04,0.0,0.0,385.0,385.0,0.0,-0.8221709006928406,1275.0,Suppressed,0.5,-1048.2678983833719,Low,0.0,0.0017892828925965517,0.0,0.009987959179645095,0.001535580785743475,Underserved
